id,text,date,rating,title,clean_texts,sentiment
R2S5DZYXZZ2DZQ,"
  I have purchased this boat earphone few months ago...😊Here I'm sharing our experience with this product.Build quality⏮️⏭️ Its build quality is Awesome and looks premium in hands when you hold it in your hands. Also its a light weight product.Sound quality⏮️⏭️ sound quality is good.Works well for soft and melody songs with my personal experience.Length⏮️⏭️ comes with long size cable which is a cool thing and I like it. One thing I like is that it comes with a strap to tangle the cable.Ear comfort ⏮️⏭️ get fit easily in ears.Durability ⏮️⏭️ It will depend what kind of user you are.  If you're protective towards your stuff so maybe this will be a last long product.******************************************Cons⏯️⏯️Come with dedicated microphone which works ok ok. There is still noise in calling while traveling. So not satisfied with this noise cancellation Mike.I am not satisfied with the bass quality.  It works average.******************************************What you will get inside?⏮️⏭️ You will get earphone with some paperwork's and it comes with one year warranty  which you have to activate by calling on the given number I guess.You will also get two pairs of additional ear protector for further use.I hope this will help you to make your purchase decision.😊
",Reviewed in India on 11 May 2021,3,Must watch this detailed 👉 REVIEW ☺️,purchase boat earphone month ago share experience product build quality build quality awesome look premium hand hold hand also light weight product sound quality sound quality good work well soft melody song personal experience length come long size cable cool thing like one thing like come strap tangle cable ear comfort get fit easily ear durability depend kind user protective towards stuff maybe last long product con come dedicated microphone work ok ok still noise call travel satisfied noise cancellation mike satisfy bass quality work average get inside get earphone paperwork come one year warranty activate call give number guess also get two pair additional ear protector use hope help make purchase decision,positive
R270ZWETAMQXXT,"
  One of the best pair of earphone for the price1} Sound quality is amazing for the price 😍2} Built quality is good but not the best but  for the budget price I can say its good ⚡3} Headphone jack is not gold plated ⚠️4} I have been using this earphone from past more than a year and have replaced it once under warranty which was super easy hassel free🎶5} I have used many other brand earphones such as JBL, Sony, Sennheiser, RHA, Boultaudio and recently Infinity and I am not a professional but have experience of many earphones so I can say this is the best sounding in budget and very comfortable in shape to use for longer duration 💯💥I can definitely recommend this earphones must buy in budget segment 🔝🔝✅🔥🔥
",Reviewed in India on 27 July 2020,5,Worth the money,one good pair earphone price1 sound quality amazing price 2 build quality good good budget price say good 3 headphone jack gold plate 4 use earphone past year replace warranty super easy hassel free 5 use many brand earphone jbl sony sennheiser rha boultaudio recently infinity professional experience many earphone say best sound budget comfortable shape use long duration definitely recommend earphone must buy budget segment,positive
R1HNZOJATM1927,"
  Build quality (5/5)Durability (4/5)Wire length and tangle free(5/5)Sound quality (5/5)Microphone (4/5)Ear comfort (5/5)This product met my expectations....Thanks Amazon ❤️
",Reviewed in India on 31 October 2018,5,VFM Product,build quality 5 5 durability 4 5 wire length tangle free 5 5 sound quality 5 5 microphone 4 5 ear comfort 5 5 product meet expectation thank amazon,positive
R2VT1FWE1LOXBK,"
  Love the sound quality, but moreover the services offered by this company are pretty amazing!I ordered these earphones about 9 months ago and one of the ear buds stopped working about two weeks ago, I read about their manufacturer's warranty, and registered my product on their site and filed a complaint. They, then, picked up the earphones from my address, and sent a brand new one to the same address in two weeks and free of cost.
",Reviewed in India on 31 May 2018,5,The repair/replacement process is hassle free and easy!,love sound quality moreover service offer company pretty amazing order earphone 9 month ago one ear bud stop work two week ago read manufacturer warranty register product site file complaint pick earphone address send brand new one address two week free cost,positive
R1RGPDZ7EE5Z69,"
  For a price of rs 400 it's worth the cost, i previously used boat bassheads 225, now i tried this for pricing it does the job.Pros,Easy fitNice qualityGood bassInbuilt micCons.It doesn't have a clip or dual coloured ear buds noraml black only.Maybe you should give blue, red colour like other products.The connecting cable will be flat unlike folded one, that quite difficult while playing games or youtube bt you figure it out gow to mangae itUpdateAfter 9 months one side stopped working and i have complained in their official website with downloaded invoice from amazon and the next day my product was picked and in next 15 days got newer one. For the 400 rs it lasted about one and half years that was good for the price and it has one year warranty compared to mi and realme 6 months warranty and you have to carry your products to their outlets.Note .While claiming warranty you have to upload invoice that has to be downloaded only in pc version as of now ,so login amzon account in seperate browser in desktop mode or use pc to download the invoice.
",Reviewed in India on 5 February 2019,4,Best for the price,price r 400 worth cost previously use boat basshead 225 try pricing job pro easy fitnice qualitygood bassinbuilt miccon clip dual coloured ear bud noraml black maybe give blue red colour like product connect cable flat unlike fold one quite difficult playing game youtube bt figure gow mangae itupdateafter 9 month one side stop work complain official website download invoice amazon next day product pick next 15 day get new one 400 r last one half year good price one year warranty compare mi realme 6 month warranty carry product outlet note claim warranty upload invoice download pc version login amzon account seperate browser desktop mode use pc download invoice,positive
R22IL4O02TQV3J,"
  I bought this in sept and I'm NOT SATISFIED with the purchase... Don't get me wrong, the sound quality is amazing for a earphone this cheap, but its flat... The bass kicks in only when there's too much bass in the music, else the sound feels very flat... Also the audio via the microphone is bad, and the mic is located on the split end of the cable, which is very low... At times I've heard people complaining that they cannot hear my voice clearly... Only for those who are struck with the price tag of 300-400rs... In that range its good, but if you can spend a 100rs more, get the basshead 225...
",Reviewed in India on 23 October 2018,3,Good but lack bass...,buy sept satisfied purchase get wrong sound quality amazing earphone cheap flat bass kick much bass music else sound feel flat also audio via microphone bad mic locate split end cable low time hear people complain can not hear voice clearly strike price tag 300 400rs range good spend 100rs get basshead 225,negative
R27ZQA9Q9VW3VV,"
  This is a very great earphone with a good quality sound, but it's not for rough usage! The sound is flat, so less bass in regular condition! But the earphone has got a very good frequency range. So still a deep bass is possible but with an equalizer. You can try my preset.  Also remember that the quality of sound also depends on your device's sound card.
",Reviewed in India on 5 November 2018,4,Quality sound,great earphone good quality sound rough usage sound flat less bass regular condition earphone get good frequency range still deep bass possible equalizer try preset also remember quality sound also depend device sound card,positive
RRJJQDAV7VSHJ,"
  I bought this earphone cause I had read in the reviews that they provide excellent after sales service and replace the earphone if any defect occurs. I had previously tried many companies earphones but in a few months always they would give problems. The sound quality and durability is amazing for the price. But due to rough usage one ear stopped working after 3 months. But the after sales services are amazing. They arranged a pickup of my old earphones and delivered a new pair to me after 10 days.Really happy customer
",Reviewed in India on 27 November 2018,5,Excellent after sales services and value for money,buy earphone cause read review provide excellent sale service replace earphone defect occur previously try many company earphone month always would give problem sound quality durability amazing price due rough usage one ear stop work 3 month sale service amazing arrange pickup old earphone deliver new pair 10 day really happy customer,positive
R124J6Z54BL474,"
  One of my friend has this product that's y I came for this product.  My idea is to by skull candy only but cos of my frd i came for this product. He s having good product but what I got is defective material. Actually i got this by last week at my work place. I got an emergency to travel so i left the product at my office itself. Yesterday I came and checked the product. It's a broken one. Yes it's broke at the connector area.  They hide it and deliver to me. While checking the product didn't work after full checking headset came into 2 parts. Kindly return my money back or send me a genuine product.
",Reviewed in India on 20 December 2018,1,Broken headset,one friend product come product idea skull candy cos frd come product good product get defective material actually get last week work place get emergency travel leave product office yesterday come check product break one yes break connector area hide deliver check product work full checking headset come 2 part kindly return money back send genuine product,negative
R19FZDX3CKX4NV,"
  After using it for less than one week one of the headphone wire comes from the Mic join point. It detached automatically. Yes, automatically. No pressure no pulling caused this. I did my registration and complain to their website. They sent me a ticket number through email and text message. I am so so disappointed ; don't know when pick up will happen and when I will get a non defective earphone. Such a horrible experience.
",Reviewed in India on 15 June 2019,1,Worst earphone ever,use less one week one headphone wire come mic join point detach automatically yes automatically pressure pull cause registration complain website send ticket number email text message disappoint know pick happen get non defective earphone horrible experience,negative
RRTY6BEMQV6O2,"
  Got it for 400.  Okay for the price.
",Reviewed in India on 6 November 2018,4,Good,get 400 okay price,positive
R2KDQHVRJS3Z6I,"
  Edit : After two week of usage I realized that sound leaks from the earphone. So other people may get irritated.  Bought these earphones in a sale for 400₹. I have already used boat bassheads 225 and this time also boat doesn’t disappoint me. Here are my impressions: Clear output Quality build Low weight plastic build (I was disappointed with bassheads 225 since they have bulky metal build ) Great customer service Medium bass Decent microphone ( I didn’t face any problem during a call) Great designFor 500₹ I think it is overpriced. During Amazon sale and sometimes daily deals price drops to 400. You should definitely buy at this price. But MI basic earphones also comes at this price. If you are looking for clear sound quality you should go for mi basic otherwise for bass you should go for boat.
",Reviewed in India on 14 November 2018,4,One of the best at this price !!,edit two week usage realize sound leak earphone people may get irritated buy earphone sale 400 already use boat basshead 225 time also boat disappoint impression clear output quality build low weight plastic build disappoint basshead 225 since bulky metal build great customer service medium bass decent microphone face problem call great designfor 500 think overprice amazon sale sometimes daily deal price drop 400 definitely buy price mi basic earphone also come price look clear sound quality go mi basic otherwise bass go boat,negative
R232B5XUQC5LZ7,"
  Sadly just 2 months and it is dead. the most sad part is it was sold with one year warrenty but within a month they refused to replace the item. total waste of  hard earn money.
",Reviewed in India on 16 April 2019,1,Boat sinked..want my money back or a new headset in return,sadly 2 month dead sad part sell one year warrenty within month refuse replace item total waste hard earn money,negative
R2O7NLZA7XVDRM,"
  its been two or 3 weeks since i brought this item, it was working well for 3 weeks after i brought this item and then all of a sudden one of the drivers stopped working and i was like damn these earphones were made by a leading company how come they could have made such a unworthy product. and the main part is that the bass is not that good actually saying bad. so, i suggest everyone not to buy this product.  SPREAD THIS !
",Reviewed in India on 13 December 2018,1,its not worth it,two 3 week since bring item work well 3 week bring item sudden one driver stop work like damn earphone make lead company come could made unworthy product main part bass good actually say bad suggest everyone buy product spread,negative
R2523G5978WSED,"
  I haven't heard about this brand until my colleague told me about it when I was looking for earphones on Amazon. I ordered this pair after reading 80% good reviews on Amazon. It arrived within 48 hours thanks to Amazon Prime. The pair looks beautiful. The sound quality is surprisingly good for a below 500 rupees earphones. The only problem with the earphones is the fit, it doesn't stick to your ears when you are walking or running. I have to keep adjusting it every 5 minutes. Other than that, it is more value for money.
",Reviewed in India on 10 September 2018,4,Great buy!,heard brand colleague tell look earphone amazon order pair read 80 good review amazon arrive within 48 hour thank amazon prime pair look beautiful sound quality surprisingly good 500 rupee earphone problem earphone fit stick ear walk run keep adjust every 5 minute value money,positive
R1K8UKMTGTQ5T5,"
  Volume button is broken in barely a month ! cheap product ... Not worth the buck
",Reviewed in India on 6 October 2018,1,Not worth even for free !,volume button break barely month cheap product worth buck,positive
RGWZD3S6ZW248,"
  Just loved it and sound quality is awesome 😍😍 Mumbai Indian edition is the cherry to the cake😍
",Reviewed in India on 20 April 2019,5,No words just lit af😍,love sound quality awesome mumbai indian edition cherry cake,positive
R2ZQTXFFC5G405,"
  Looking for earphones online? This may be the best choice for you.if you are a stock Android user or any user, this earphone provides the best hearing experience.I'm using this earphone since hours, but no pain in ears or head,  that means their ergonomic design really worked.The Black colour looks more classy then other colours , and its design is beautiful .if we talk about comfort.., do they well played here.,these are so comfortable .but we can purchase same audio quality earphone through the market , like ubon big daddy bass for less than 300 rs but the durabilty ,and comfort is not same as these earphones .Cable - cable is good ,it is tangle free and easy to handle.Design - impressive design , it doesn't fall from your ears even while running .Button - it provides a single button , but can fo many things with this single button if you are a android user .1. double tap to play next song .2. triple tap to play previous song .3. long press to access google assistant and directly apply operations4. single tap for play and resumeThe button is comparatively very smooth to press.
",Reviewed in India on 19 October 2018,5,Mind-blowing earhphones,look earphone online may good choice stock android user user earphone provide good hearing experience use earphone since hour pain ear head mean ergonomic design really work black colour look classy colour design beautiful talk comfort well play comfortable purchase audio quality earphone market like ubon big daddy bass less 300 r durabilty comfort earphone cable cable good tangle free easy handle design impressive design fall ear even run button provide single button fo many thing single button android user 1 double tap play next song 2 triple tap play previous song 3 long press access google assistant directly apply operations4 single tap play resumethe button comparatively smooth press,positive
R1412KW1VETFTK,"
  Says on the pack extra bass. But no bass sound. So I installed a Equalizer in my phone and increased bass. Right earphone started giving additional ish ish sound at the end of each bass beat. The kind of sound you would hear if you increase the volume too high and the speaker diaphragm makes a sound out of extra vibration. I have used senheiser before. My toddler son  has habit of breaking things, so settled for this one. If you planned spend more. Just go for other ones. Not this product.
",Reviewed in India on 27 December 2018,1,"No Bass, Ordinary brand give better output than this",say pack extra bass bass sound instal equalizer phone increase bass right earphone start give additional ish ish sound end bass beat kind sound would hear increase volume high speaker diaphragm make sound extra vibration use senheiser toddler son habit break thing settle one planned spend go one product,positive
ROI5C10IC3LQA,"
  Good sound  reasonable price
",Reviewed in India on 19 October 2018,4,Nice product,good sound reasonable price,positive
R4MHP0KYDCN80,"
  Por sound clarity, we can't expected this type of poor quality from Boat
",Reviewed in India on 29 August 2018,1,Very cheap quality sound,por sound clarity expect type poor quality boat,negative
RRDRB9JFPFDL4,"
  Boat brand was unknown to me. I gave it a shot and bought these earphones after reading several positive reviews. For this price there are no other better earphones out there. First thing I noticed was how strong the connecting cables were, much tougher and sturdier as compared to other well known brands. The earpieces also fit tightly into the ears and seem on the harder side. They will never fall off from the ears. Sound quality is above average as compared to their next product in the hierarchy. Frankly the only missing part is the heavy bass.(this comparison is unfair as I also use Sony XB 550) Other than that an excellent product.
",Reviewed in India on 28 October 2018,4,Durable is the only word,boat brand unknown give shoot buy earphone read several positive review price well earphone first thing notice strong connect cable much tough sturdier compare well know brand earpiece also fit tightly ear seem hard side never fall ear sound quality average compare next product hierarchy frankly miss part heavy bass comparison unfair also use sony xb 550 excellent product,positive
R3NHSD8B00D71H,"
  Okay product. Will comment in 3-6 months regarding durability.These are supposed to be basshead earphones but I don't think they qualify - not at their price range.They don't really boost bass just amplify it and make the entire lower range frequency louder. As a result, if you go above the halfway volume mark, the sound sort of starts cracking and hurting ears. The problem goes away a bit when you tweak the sound settings. However, the range is small. If you optimize settings for bass, then treble starts cracking, and if you optimise for middle range sounds (can't really get a good treble), then bass starts cracking. Just not satisfactory for me.Of course, everyone's taste in music is different and their requirements from earphones are different. Obviously, I listen to everything from Opera and Death metal to bluegrass and hip-hop to rap and jazz to Punjabi upbeat songs and Ghazals. So this earphone covers only a fraction of all that and hence I do not particularly like them even for the price of rs 379 that I paid in the lightning deal. There were a few cheaper earphones that were much better than these and I only bought this because they were out of stock.However, if your taste in music covers a narrow frequency range and similar genres and you just want loud percussion sounds and don't care about much else, go for it.As for watching TV shows and Movies, earphones generally don't affect the experience that much unless they are too good or too bad. However, here too, I find that the sound gets annoying if the volume is too high and I cannot eat while watching because it amplifies the sound of my jaw too much. Plus it makes everything sound a little weird. But I guess the last part gets adjusted with use.All in all, I will try a different pair next time. I mainly checked the reviews and bought them because they were rated high on durability. If they break soon, then there will be no point in me ever buying them again. I will see how long they last.
",Reviewed in India on 8 December 2018,3,Okay,okay product comment 3 6 month regard durability suppose basshead earphone think qualify price range really boost bass amplify make entire low range frequency loud result go halfway volume mark sound sort start crack hurting ear problem go away bit tweak sound setting however range small optimize setting bass treble start crack optimise middle range sound really get good treble bass start crack satisfactory course everyone taste music different requirement earphone different obviously listen everything opera death metal bluegrass hip hop rap jazz punjabi upbeat song ghazal earphone cover fraction hence particularly like even price r 379 pay lightning deal cheap earphone much better buy stock however taste music cover narrow frequency range similar genre want loud percussion sound care much else go watch tv show movie earphone generally affect experience much unless good bad however find sound get annoying volume high can not eat watch amplifie sound jaw much plus make everything sound little weird guess last part get adjust use try different pair next time mainly check review buy rate high durability break soon point ever buy see long last,negative
